SN,Date,Amount,Section
11517,09/01/2023,40,food
12124,09/01/2023,100,food
13021,09/01/2023,,food
15115,09/01/2023,80,transpo
15540,09/01/2023,80,transpo
22372,09/01/2023,,
27536,09/02/2023,,food
29537,09/02/2023,,food
32844,09/02/2023,225,food
33772,09/03/2023,40,transpo
38081,09/03/2023,,church
39693,09/03/2023,50,chuch
47665,09/03/2023,660,food
54660,09/03/2023,147,food
55333,09/03/2023,,
55567,09/03/2023,185,pet
63564,09/03/2023,40,transpo
66310,09/03/2023,100,food
72203,09/04/2023,,
80740,09/05/2023,60,food
83886,09/05/2023,25,food
87643,09/05/2023,,food
87916,09/06/2023,135,food
88258,09/06/2023,89,transpo
91928,09/06/2023,,pet
93073,09/06/2023,40,food
93281,09/06/2023,,
93458,09/07/2023,50,food
96807,09/07/2023,150,food
97997,09/07/2023,,food
